Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seating Capacity,Location,Sales Channel
2023 Lexus RX350 2.4 F Sport SUV,Lexus,RX350,2023,SUV,Petrol - Unleaded (ULP),5 - 10K KM    ,Automatic,Black,375000,"RM 4,862/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang ",Sales Agent                                            
2010 Toyota Estima 2.4 Aeras MPV Hot Mpv Car In Market / Tip Top Condition,Toyota,Estima,2010,MPV,Petrol - Unleaded (ULP),115 - 120K KM    ,Automatic,White,55999,RM 726/month,http://schema.org/UsedCondition,7,"Selangor, Kajang ",Sales Agent                                            
2020 Porsche Cayenne Coupe 4.0 V8 Turbo AWD Unregistered Panoramic Roof Glass Top Leather Wrapped Porsche Gear knob Porsche Surface Coated Brake Po,Porsche,Cayenne,2020,Coupe,Petrol - Unleaded (ULP),20 - 25K KM    ,Automatic,Grey,662222,"RM 8,585/month",http://schema.org/RefurbishedCondition,4,"Selangor, Klang ",Sales Agent                                            
2021 Honda City 1.5 V i-VTEC Hatchback,Honda,City,2021,Hatchback,Petrol - Unleaded (ULP),90 - 95K KM    ,Automatic,Silver,67000,RM 869/month,http://schema.org/UsedCondition,5,"Johor, Ulu Tiram ",Sales Agent                                            
2022 Toyota Corolla Cross 1.8 V SUV Full Service Record Under Warranty By Toyota Malaysia,Toyota,Corolla Cross,2022,SUV,Petrol - Unleaded (ULP),80 - 85K KM    ,Automatic,White,98999,"RM 1,283/month",http://schema.org/UsedCondition,5,"Selangor, Kajang ",Sales Agent                                            
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV 2WD FACELIFT (A) FULL SERVICE RECORD / LOW MILEAGE / WARRANTY ENGINE AND GEARBOX / SERVICE BEFORE DELIVERY,Mazda,CX-5,2018,SUV,Petrol - Unleaded (ULP),90 - 95K KM    ,Automatic,Grey,86999,"RM 1,128/month",http://schema.org/UsedCondition,5,"Selangor, Cheras ",Sales Agent                                            
2020 Porsche Cayenne Coupe 3.0 V6 Turbo TipTronicS 4WD Unregistered Surround View Camera Adaptive Cruise Control Keyless Entry Bose Sound System P,Porsche,Cayenne,2020,Coupe,Petrol - Unleaded (ULP),15 - 20K KM    ,Automatic,White,452999,"RM 5,873/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang ",Sales Agent                                            
2020 Porsche Cayenne Coupe 4.0 V8 Turbo AWD Unregistered Four Zone Climate Control Bose Sound System Panoramic Roof Glass Top Carbon Fiber Trim Int,Porsche,Cayenne,2020,Coupe,Petrol - Unleaded (ULP),20 - 25K KM    ,Automatic,Black,657333,"RM 8,522/month",http://schema.org/RefurbishedCondition,4,"Selangor, Klang ",Sales Agent                                            
2012 Proton Preve 1.6 CFE Premium Sedan Turbo One Year Warranty,Proton,Preve,2012,Sedan,Petrol - Unleaded (ULP),120 - 125K KM    ,Automatic,Blue,15999,RM 207/month,http://schema.org/UsedCondition,5,"Selangor, Kajang ",Sales Agent                                            
2015 Nissan X-Trail 2.0 SUV One Year Warranty / Tip Top Condition,Nissan,X-Trail,2015,SUV,Petrol - Unleaded (ULP),95 - 100K KM    ,Automatic,Silver,38999,RM 506/month,http://schema.org/UsedCondition,7,"Selangor, Kajang ",Sales Agent                                            
2015 Lamborghini Huracan 5.2 LP610-4 Coupe,Lamborghini,Huracan,2015,Coupe,Petrol - Unleaded (ULP),15 - 20K KM    ,Automatic,White,940000,"RM 12,186/month",http://schema.org/UsedCondition,2,"Kuala Lumpur, Cheras ",Sales Agent                                            
2020 Porsche Cayenne 4.0 V8 Turbo AWD SUV Unregistered Four Zone Climate Control Surround View Camera Porsche Surface Coated Brake 22 Inch Cayenne T,Porsche,Cayenne,2020,SUV,Petrol - Unleaded (ULP),15 - 20K KM    ,Automatic,Blue,618555,"RM 8,019/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang ",Sales Agent                                            
2024 Toyota Alphard 2.4 Executive Lounge MPV,Toyota,Alphard,2024,MPV,Petrol - Unleaded (ULP),0 - 5K KM    ,Automatic,White,518000,"RM 6,716/month",http://schema.org/UsedCondition,7,"Selangor, Cheras ",Dealer                                            
2015 Lamborghini Huracan 5.2 LP610-4 Coupe,Lamborghini,Huracan,2015,Coupe,Petrol - Unleaded (ULP),15 - 20K KM    ,Automatic,White,940000,"RM 12,186/month",http://schema.org/UsedCondition,2,"Kuala Lumpur, Cheras ",Sales Agent                                            
2020 Bentley Flying Spur 4.0 V8 Sedan,Bentley,Flying Spur,2020,Sedan,Petrol - Unleaded (ULP),15 - 20K KM    ,Automatic,Gold,899000,"RM 11,655/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang ",Sales Agent                                            
2014 Honda Jazz 1.3 Hybrid Hatchback Full Service Record Under Honda / One Year Warranty / Tip Top Condition,Honda,Jazz,2014,Hatchback,Hybrid,110 - 115K KM    ,Automatic,Grey,32999,RM 428/month,http://schema.org/UsedCondition,5,"Selangor, Kajang ",Sales Agent                                            
2022 Porsche 911 3.0 Carrera 4S Coupe UK Porsche Premium Selection Unit,Porsche,911,2022,Coupe,Petrol - Unleaded (ULP),0 - 5K KM    ,Automatic,Grey,988988,"RM 12,822/month",http://schema.org/RefurbishedCondition,4,"Penang, Georgetown ",Sales Agent                                            
2023 Mercedes-Benz C300 2.0 AMG Line Sedan,Mercedes-Benz,C300,2023,Sedan,Petrol - Unleaded (ULP),0 - 5K KM    ,Automatic,Grey,278000,"RM 3,604/month",http://schema.org/UsedCondition,5,"Selangor, Cheras ",Dealer                                            
