Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seat Capacity,Location,Sales Channel,URL
2023 Honda Civic 1.5 FL1 EX F/Conv FL5 Hondata PRL Intake&PWR INT/Cooler F/Exhaust RAYS 18 TE37 Endless VoltexWing Spoon Seat DEFI Meter MUGEN Carpet,Honda,Civic,2023,Sedan,Petrol - Unleaded (ULP),40 - 45K KM,Automatic,White,159900,"RM 2,073/month",Used,5,"Kuala Lumpur , Desa Petaling",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15801830
2020 BMW 530e 2.0 M-Sport G30 I-PERFORMANCE F/Bodykit Facelift Steeing Local PwrBoot F/ServRcd Digital Meter 19 S/Rim Low Mile 45K Free 3Year Warranty,BMW,530e,2020,Sedan,Hybrid,45 - 50K KM,Automatic,Grey,129900,"RM 1,684/month",Used,5,"Kuala Lumpur , Desa Petaling",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15822048
2017 Jeep Wrangler 3.6 Sahara SUV Upgrade worth 80k,Jeep,Wrangler,2017,SUV,Petrol - Unleaded (ULP),75 - 80K KM,Automatic,Black,209800,"RM 2,720/month",Used,4,"Kuala Lumpur , Cheras",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15805082
2018 Mercedes-Benz C250 2.0 AMG Line Sedan CKD ORI 63K KM MILEAGE,Mercedes-Benz,C250,2018,Sedan,Petrol - Unleaded (ULP),60 - 65K KM,Automatic,Silver,135800,"RM 1,761/month",Used,5,"Kuala Lumpur , Desa Petaling",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15908541
2021 Toyota Camry 2.5 V Sedan Under Warranty Toyota,Toyota,Camry,2021,Sedan,Petrol - Unleaded (ULP),42000 KM,Automatic,White,146800,"RM 1,903/month",Used,5,"Johor , Skudai",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15813131
2022 Honda Civic 1.8 S i-VTEC Sedan,Honda,Civic,2022,Sedan,Petrol - Unleaded (ULP),47000 KM,Automatic,Grey,87800,"RM 1,138/month",Used,5,"Johor , Skudai",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15878247
2021/2022 Mercedes-Benz E300 2.0 AMG Line Sedan,Mercedes-Benz,E300,2021,Sedan,Petrol - Unleaded (ULP),8000 KM,Automatic,Grey,278800,"RM 3,614/month",Used,5,"Johor , Skudai",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15907357
2023 Toyota Land Cruiser 3.4 ZX Modellista SUV Sunroof JBL 360 Camera PCS LDA HUD BSM PB Unreg,Toyota,Land Cruiser,2023,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,White,479000,"RM 6,210/month",Used,5,"Kuala Lumpur , Sungai Besi",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14063761
"2023 Toyota Alphard 2.5 Z MPV (Grade 5A) Year End Sales * Moonroof, Digital Inner Mirror, 360 Camera",Toyota,Alphard,2023,MPV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,White,366000,"RM 4,745/month",Used,7,"Kuala Lumpur , Old Klang Road",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15886828
**2019 Honda City 1.5 V ONE YEAR WARRANTY FLASH SALES**,Honda,City,2018,Sedan,Petrol - Unleaded (ULP),70 - 75K KM,Automatic,White,52800,RM 685/month,Used,5,"Kuala Lumpur , Pandan Perdana",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14187307
YEAR END BIG SALES 2021 MINI COOPER S NEW FACELIFT / DIGITAL METER / HARMON KARDON / FREE 6 YEARS WARRANTY,MINI,3 Door,2021,Hatchback,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Blue,178000,"RM 2,308/month",Used,4,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15660975
2023 Porsche turbo S high spec BRAND NEW DELIVERY MILEAGE,Porsche,911,2023,Coupe,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Others,1680000,"RM 21,780/month",Used,4,"Kuala Lumpur , TTDI",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15652051
2019 Toyota Alphard 2.5 SC SUNROOF DIM BSM,Toyota,Alphard,2019,MPV,Petrol - Unleaded (ULP),60 - 65K KM,Automatic,White,208000,"RM 2,697/month",Used,7,"Selangor , Petaling Jaya",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_14309872
2023 Toyota Camry 2.5 V,Toyota,Camry,2023,Sedan,Petrol - Unleaded (ULP),20 - 25K KM,Automatic,Brown,195000,"RM 2,528/month",Used,5,"Johor , Johor Bahru",DealerThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15932782
2019 Toyota Alphard 2.5 SA UNREG ( YEAR END BIG REBATE ),Toyota,Alphard,2019,MPV,Petrol - Unleaded (ULP),50 - 55K KM,Automatic,White,195000,"RM 2,528/month",Used,7,"Kuala Lumpur , Pudu",Sales AgentThis 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my,https://www.carlist.my/cars-for-sale/malaysia?page_number=3471&page_size=25#listing_15932733
