Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seating Capacity,Location,Sales Channel
2020 Proton Saga 1.3 Sedan (A) LOW MILEAGE/ ONE OWNER,Proton,Saga,2020,Sedan,Petrol - Unleaded (ULP),35 - 40K KM,Automatic,Silver,24999,RM 324/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Sungai Besi","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2024 Proton Saga 1.3 Premium S Sedan,Proton,Saga,2024,Sedan,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Gold,37800,RM 490/month,http://schema.org/UsedCondition,5,"Johor, Johor Bahru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Lexus RX300 2.0 VERSION L SUNROOF BLACK LEATHER 4CAM 3LED 10K KM 3YRS LEXUS WARRANTY,Lexus,RX300,2022,SUV,Petrol - Unleaded (ULP),10 - 15K KM,Automatic,Black,280000,"RM 3,630/month",http://schema.org/RefurbishedCondition,5,"Johor, Johor Bahru","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Toyota Alphard 2.5 G SC Modellista MPV,Toyota,Alphard,2021,MPV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Black,233000,"RM 3,021/month",http://schema.org/RefurbishedCondition,7,"Penang, Pulau Pinang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
"2023 Honda Civic TypeR FL5 - READY CAR - Boost Blue, low KM, 5A",Honda,Civic,2023,Hatchback,Petrol - Unleaded (ULP),0 - 5K KM,Manual,Blue,298000,"RM 3,863/month",http://schema.org/RefurbishedCondition,4,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
"2023 Lexus RX350 Version L - Mark Levinson, HUD, 4WD, READY STOCK",Lexus,RX350,2023,SUV,Petrol - Unleaded (ULP),10 - 15K KM,Automatic,Red,419000,"RM 5,432/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2003 Aston Martin DB7 V12 Vantage 5.9 Coupe Classic CollectibleCar OriginalCondition,Aston Martin,DB7,2003,Coupe,Petrol - Unleaded (ULP),40 - 45K KM,Automatic,Green,388800,"RM 5,041/month",http://schema.org/UsedCondition,4,"Selangor, Petaling Jaya","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
"2024 Toyota Vellfire Z 2.4Turbo - Sunset Brown Seat, HUD, Sunroof, low KM",Toyota,Vellfire,2023,MPV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Black,382000,"RM 4,952/month",http://schema.org/RefurbishedCondition,7,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
"2023 Toyota Alphard Z - Sunroof, Pilot Seats, 14 Inch Display, DIM, HUD",Toyota,Alphard,2023,MPV,Petrol - Unleaded (ULP),10 - 15K KM,Automatic,White,321000,"RM 4,162/month",http://schema.org/RefurbishedCondition,7,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
"2023 Lexus RX350 FSport - Red Leather Seats, Sunroof, HUD",Lexus,RX350,2023,SUV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Black,369000,"RM 4,784/month",http://schema.org/RefurbishedCondition,5,"Selangor, Klang","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Perodua Myvi 1.5 AV Hatchback,Perodua,Myvi,2021,Hatchback,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,White,49900,RM 647/month,http://schema.org/UsedCondition,5,"Johor, Skudai","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2019 Perodua Bezza 1.3 X Premium Sedan-Car for Sale,Perodua,Bezza,2019,Sedan,Petrol - Unleaded (ULP),110 - 115K KM,Automatic,Grey,35800,RM 464/month,http://schema.org/UsedCondition,5,"Johor, Johor Bahru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Perodua Ativa 1.0 AV SUV,Perodua,Ativa,2021,SUV,Petrol - Unleaded (ULP),90 - 95K KM,Automatic,Silver,57800,RM 749/month,http://schema.org/UsedCondition,5,"Pahang, Kuantan",Dealer
Used 2018 Honda City 1.5 V i-VTEC Sedan LOW MILEAGE FULL BODY KIT LEATHER SEAT ONE OWNER FULL SPEC MILEAGE ONLY 6XK KM,Honda,City,2018,Sedan,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,Silver,53999,RM 700/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Sungai Besi","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Toyota Alphard 2.5 G S C Package MPV,Toyota,Alphard,2020,MPV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,White,218000,"RM 2,826/month",http://schema.org/RefurbishedCondition,7,"Penang, Perai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Lexus RX300 2.0 F Sport SUV,Lexus,RX300,2021,SUV,Petrol - Unleaded (ULP),30 - 35K KM,Automatic,White,278000,"RM 3,604/month",http://schema.org/RefurbishedCondition,5,"Penang, Bukit Mertajam","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
Black Interior 2021 Toyota Land Cruiser 3.4 GR Sport,Toyota,Land Cruiser,2021,SUV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,Black,408000,"RM 5,289/month",http://schema.org/RefurbishedCondition,7,"Selangor, Shah Alam","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Toyota Harrier 2.0 SUV,Toyota,Harrier,2021,SUV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,Black,185000,"RM 2,398/month",http://schema.org/RefurbishedCondition,5,"Kedah, Sungai Petani","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
READY STOCK 2023 Lexus RX350 2.4 F Sport Mark Levinson 3600km Low Mileage Offer Unit,Lexus,RX350,2023,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,White,405000,"RM 5,251/month",http://schema.org/RefurbishedCondition,5,"Kuala Lumpur, Pudu","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
READY STOCK SA GRADE 2024 Lexus RX350 2.4 F Sport,Lexus,RX350,2024,SUV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,White,399000,"RM 5,173/month",http://schema.org/RefurbishedCondition,5,"Kuala Lumpur, Pudu","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
OFFER BLACK / BROWN INTERIOR 2024 Toyota Vellfire Z PREMIER 2.4,Toyota,Vellfire,2024,MPV,Petrol - Unleaded (ULP),0 - 5K KM,Automatic,Black,418000,"RM 5,419/month",http://schema.org/RefurbishedCondition,7,"Kuala Lumpur, Pudu","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
Subaru Forester 2.0 SUV Facelift Gunnie Info,Subaru,Forester,2017,SUV,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,Grey,32000,RM 415/month,http://schema.org/UsedCondition,5,"Selangor, Seri Kembangan","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
