Car Name,Car Brand,Car Model,Manufacture Year,Body Type,Fuel Type,Mileage,Transmission,Color,Price,Installment,Condition,Seating Capacity,Location,Sales Channel
2018 Perodua AXIA 1.0 SE Hatchback - BEST DEAL IN TOWN,Perodua,AXIA,2018,Hatchback,Petrol - Unleaded (ULP),85 - 90K KM,Automatic,Blue,30800,RM 399/month,http://schema.org/UsedCondition,5,"Penang, Juru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Mazda CX-5 2.0 SUV,Mazda,CX-5,2016,SUV,Petrol - Unleaded (ULP),109782 KM,Automatic,Grey,55900,RM 725/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Mitsubishi Xpander 1.5 MPV,Mitsubishi,Xpander,2020,MPV,Petrol - Unleaded (ULP),85304 KM,Automatic,Grey,73400,RM 952/month,http://schema.org/UsedCondition,7,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2019 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2019,Hatchback,Petrol - Unleaded (ULP),64194 KM,Automatic,Red,45900,RM 595/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 BMW 320i 2.0 Sport Driving Assist Pack Sedan Super Low Mileage 20K KM Only High Spec Head Up DisPlay HUD 360 Camera Power Boot Free Waranty Lon,BMW,320i,2020,Sedan,Petrol - Unleaded (ULP),20 - 25K KM,Automatic,White,173000,"RM 2,243/month",http://schema.org/RefurbishedCondition,5,"Selangor, Ampang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 BMW X3 2.0 xDrive20i SUV Full Service Record BMW Low Mileage F/Lon OTR Free Warranty Free Tinted Carking In Marker 1Doctor Owner,BMW,X3,2016,SUV,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,White,58800,RM 762/month,http://schema.org/UsedCondition,5,"Selangor, Ampang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2014 BMW 316i 1.6 Sedan / BIG OLD GERAN / PUSH START / M-SPORT STEERING / TWIN ELECTRIC SEATS / RED LEAHTER SEATS /,BMW,316i,2014,Sedan,Petrol - Unleaded (ULP),95 - 100K KM,Automatic,White,49800,RM 646/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Honda Jazz 1.5 Hatchback,Honda,Jazz,2017,Hatchback,Petrol - Unleaded (ULP),135425 KM,Automatic,Grey,49900,RM 647/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2022 Perodua Alza 1.5 Advance (A) FULL SERVICE RECORD UNDER WARRANTY NO PROCESSING CHARGE 1 LADY OWNER,Perodua,Alza,2022,MPV,Petrol - Unleaded (ULP),40 - 45K KM,Automatic,White,66800,RM 866/month,http://schema.org/UsedCondition,7,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2019 Honda City 1.5 E FACELIFT (A) 1 OWNER NO PROCESSING CHARGE,Honda,City,2019,Sedan,Petrol - Unleaded (ULP),120 - 125K KM,Automatic,Grey,40800,RM 529/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Perodua Ativa 1.0 SUV,Perodua,Ativa,2021,SUV,Petrol - Unleaded (ULP),51412 KM,Automatic,Red,57700,RM 748/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Honda City 1.5 Sedan,Honda,City,2017,Sedan,Petrol - Unleaded (ULP),129715 KM,Automatic,White,54400,RM 705/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Toyota Vios 1.5 Sedan,Toyota,Vios,2017,Sedan,Petrol - Unleaded (ULP),111260 KM,Automatic,Silver,53400,RM 692/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2023 Mercedes-Benz CLA45 AMG 2.0 S 4MATIC+ READY STOCK OFFER,Mercedes-Benz,CLA45 AMG,2023,Coupe,Petrol - Unleaded (ULP),10 - 15K KM,Automatic,White,380000,"RM 4,926/month",http://schema.org/RefurbishedCondition,5,"Kuala Lumpur, Pudu","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2018 Honda CR-V 1.5 SUV,Honda,CR-V,2018,SUV,Petrol - Unleaded (ULP),108043 KM,Automatic,Silver,89500,"RM 1,160/month",http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Perodua Myvi 1.5 Hatchback,Perodua,Myvi,2020,Hatchback,Petrol - Unleaded (ULP),80607 KM,Automatic,Grey,42900,RM 556/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2014 Honda Accord 2.0 i-VTEC VTi-L (A) FULL SERVICE RECORD NO PROCESSING CHARGE,Honda,Accord,2014,Sedan,Petrol - Unleaded (ULP),170 - 175K KM,Automatic,Green,35800,RM 464/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2023 Toyota Alphard 2.5 Z MPV,Toyota,Alphard,2023,MPV,Petrol - Unleaded (ULP),5 - 10K KM,Automatic,White,305000,"RM 3,954/month",http://schema.org/RefurbishedCondition,7,"Selangor, Petaling Jaya","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2014 Toyota Camry 2.0 GX (A) 1 OWNER NO PROCESSING CHARGE,Toyota,Camry,2014,Sedan,Petrol - Unleaded (ULP),130 - 135K KM,Automatic,Grey,48800,RM 633/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Honda City 1.5 E i-VTEC (A) 1 OWNER NO PROCESSING CHARGE,Honda,City,2016,Sedan,Petrol - Unleaded (ULP),140 - 145K KM,Automatic,Grey,31800,RM 412/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2018 Mercedes-Benz C200 2.0 AMG Line Coupe Free Warranty Free Tinted Carking Unit In Market Import Baru New Car Tip Top Condition,Mercedes-Benz,C200,2018,Coupe,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,Blue,129888,"RM 1,684/month",http://schema.org/UsedCondition,4,"Selangor, Ampang","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2016 Mazda CX-5 2.0 GLS NEW FACELIFT (A) PROCESSING CHARGE 1 OWNER,Mazda,CX-5,2016,SUV,Petrol - Unleaded (ULP),125 - 130K KM,Automatic,Grey,47800,RM 620/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2013 Nissan Serena 2.0 S-Hybrid High-Way Star FULL SERVICE RECORD NO PROCESSING CHARGE,Nissan,Serena,2013,MPV,Hybrid,160 - 165K KM,Automatic,Grey,35800,RM 464/month,http://schema.org/UsedCondition,8,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2013 BMW X1 2.0 sDrive20i (A) 1 OWNER NO PROCESSING CHARGE,BMW,X1,2013,SUV,Petrol - Unleaded (ULP),85 - 90K KM,Automatic,Others,30800,RM 399/month,http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2014 Audi A5 2.0 TFSI Quattro,Audi,A5,2014,Sedan,Petrol - Unleaded (ULP),115 - 120K KM,Automatic,Green,54800,RM 710/month,http://schema.org/UsedCondition,5,"Johor, Johor Bahru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Toyota Alphard 2.5 G S C Package MPV,Toyota,Alphard,2021,MPV,Petrol - Unleaded (ULP),15 - 20K KM,Automatic,White,183000,"RM 2,372/month",http://schema.org/RefurbishedCondition,7,"Selangor, Petaling Jaya","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Perodua Bezza 1.3 Sedan,Perodua,Bezza,2020,Sedan,Petrol - Unleaded (ULP),73352 KM,Automatic,Brown,41900,RM 543/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2014 Mazda 3 2.0 Sedan,Mazda,3,2014,Sedan,Petrol - Unleaded (ULP),164472 KM,Automatic,Red,40000,RM 519/month,http://schema.org/UsedCondition,5,"Perak, Sitiawan","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2013 Toyota Vellfire 3.5 ZG,Toyota,Vellfire,2013,MPV,Petrol - Unleaded (ULP),80 - 85K KM,Automatic,White,68800,RM 892/month,http://schema.org/UsedCondition,7,"Johor, Johor Bahru","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2021 Honda HR-V 1.8 i-VTEC RS SUV (A) 66K LOW MILEAGE FULL SERVICE HONDA UNDER WARRANTY UNTIL 2026 V 360 CAMERA FULL LEATHER AND ELECTRONIC SEAT,Honda,HR-V,2021,SUV,Petrol - Unleaded (ULP),65 - 70K KM,Automatic,Grey,78800,"RM 1,022/month",http://schema.org/UsedCondition,5,"Kuala Lumpur, Cheras","Sales Agent Agent                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2020 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2020,Hatchback,Petrol - Unleaded (ULP),77964 KM,Automatic,Blue,36000,RM 467/month,http://schema.org/UsedCondition,5,"Penang, Perai","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
2017 Perodua AXIA 1.0 Hatchback,Perodua,AXIA,2017,Hatchback,Petrol - Unleaded (ULP),107660 KM,Automatic,Red,27900,RM 362/month,http://schema.org/UsedCondition,5,"Melaka, Melaka","Dealer                                            
                            
                                            This 'Trusted Dealer' has a proven track record of upholding the best car selling practices certified by Carlist.my"
